"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
20,"1","2026-02-06T19:29:53.308350Z",20,6.419,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-06T19:29:53.308364Z"
21,"1","2026-02-06T19:29:54.862599Z",21,1.427,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-06T19:29:54.862613Z"
22,"1","2026-02-06T19:30:01.021047Z",22,6.027,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-06T19:30:01.021062Z"
23,"1","2026-02-06T19:30:28.875568Z",23,27.717,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-06T19:30:28.875581Z"
24,"1","2026-02-06T19:30:31.729378Z",24,2.719,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-06T19:30:31.729392Z"
25,"1","2026-02-06T19:30:34.398442Z",25,2.536,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-06T19:30:34.398455Z"
26,"1","2026-02-06T19:30:37.883473Z",26,3.356,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-06T19:30:37.883485Z"
27,"1","2026-02-06T19:30:44.631240Z",27,6.617,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-06T19:30:44.631255Z"
28,"1","2026-02-06T19:30:47.916108Z",28,3.131,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-06T19:30:47.916123Z"
29,"1","2026-02-06T19:30:50.231503Z",29,2.187,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-06T19:30:50.231516Z"
30,"1","2026-02-06T19:30:53.092695Z",30,2.737,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-06T19:30:53.092710Z"
31,"1","2026-02-06T19:31:00.944015Z",31,7.699,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-06T19:31:00.944029Z"
32,"1","2026-02-06T19:31:02.270551Z",32,1.193,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-06T19:31:02.270565Z"
33,"1","2026-02-06T19:31:03.582880Z",33,1.179,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-06T19:31:03.582895Z"
34,"1","2026-02-06T19:31:06.117381Z",34,2.385,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-06T19:31:06.117395Z"
35,"1","2026-02-06T19:31:09.712978Z",35,3.466,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-06T19:31:09.712990Z"
36,"1","2026-02-06T19:31:17.583863Z",36,7.739,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-06T19:31:17.583879Z"
37,"1","2026-02-06T19:31:19.233915Z",37,1.514,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-06T19:31:19.233929Z"
38,"1","2026-02-06T19:31:20.652544Z",38,1.274,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-06T19:31:20.652559Z"
39,"1","2026-02-06T19:31:25.035697Z",39,4.251,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-06T19:31:25.035712Z"
40,"1","2026-02-06T19:31:32.635442Z",40,7.473,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-06T19:31:32.635457Z"
41,"1","2026-02-06T19:31:36.354281Z",41,3.588,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-06T19:31:36.354294Z"
42,"1","2026-02-06T19:31:40.845704Z",42,4.357,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-06T19:31:40.845719Z"
43,"1","2026-02-06T19:31:49.618321Z",43,8.637,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-06T19:31:49.618336Z"
44,"1","2026-02-06T19:31:52.556428Z",44,2.801,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Neutral","2026-02-06T19:31:52.556444Z"
45,"1","2026-02-06T19:31:54.884279Z",45,2.205,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-06T19:31:54.884293Z"
46,"1","2026-02-06T19:31:58.407987Z",46,3.39,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-06T19:31:58.408001Z"
47,"1","2026-02-06T19:32:02.203757Z",47,3.661,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-06T19:32:02.203769Z"
48,"1","2026-02-06T19:32:05.715027Z",48,3.364,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-06T19:32:05.715040Z"
49,"1","2026-02-06T19:32:25.984974Z",49,20.13,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-06T19:32:25.984989Z"
50,"1","2026-02-06T19:32:30.303600Z",50,4.169,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-06T19:32:30.303615Z"
51,"1","2026-02-06T19:32:31.871611Z",51,1.425,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-06T19:32:31.871628Z"
52,"1","2026-02-06T19:32:38.120769Z",52,6.115,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-06T19:32:38.120785Z"
53,"1","2026-02-06T19:32:48.044149Z",53,9.795,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-06T19:32:48.044163Z"
54,"1","2026-02-06T19:32:52.227435Z",54,4.037,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Neutral","2026-02-06T19:32:52.227450Z"
55,"1","2026-02-06T19:32:53.549993Z",55,1.185,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-06T19:32:53.550007Z"
56,"1","2026-02-06T19:32:56.632358Z",56,2.945,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-06T19:32:56.632373Z"
57,"1","2026-02-06T19:32:58.280289Z",57,1.504,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-06T19:32:58.280301Z"
58,"1","2026-02-06T19:33:00.265045Z",58,1.857,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-06T19:33:00.265057Z"
59,"1","2026-02-06T19:33:01.507090Z",59,1.101,"Total garbage. A complete misfire.","Negative","2026-02-06T19:33:01.507101Z"
60,"1","2026-02-06T19:33:04.431315Z",60,2.779,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-06T19:33:04.431328Z"
61,"1","2026-02-06T19:33:20.085911Z",61,15.503,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-06T19:33:20.085929Z"
62,"1","2026-02-06T19:33:23.420386Z",62,3.195,"I have never been so bored in my life. Do not bother.","Negative","2026-02-06T19:33:23.420401Z"
63,"1","2026-02-06T19:33:25.815488Z",63,2.225,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-06T19:33:25.815503Z"
64,"1","2026-02-06T19:33:36.903078Z",64,10.966,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-06T19:33:36.903093Z"
65,"1","2026-02-06T19:33:42.264349Z",65,5.229,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Neutral","2026-02-06T19:33:42.264362Z"
66,"1","2026-02-06T19:33:46.022825Z",66,3.632,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-06T19:33:46.022841Z"
67,"1","2026-02-06T19:33:48.929556Z",67,2.769,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-06T19:33:48.929571Z"
68,"1","2026-02-06T19:33:51.356211Z",68,2.294,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-06T19:33:51.356225Z"
69,"1","2026-02-06T19:33:55.302302Z",69,3.811,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-06T19:33:55.302318Z"
70,"1","2026-02-06T19:33:57.149485Z",70,1.692,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-06T19:33:57.149499Z"
71,"1","2026-02-06T19:34:03.409303Z",71,6.126,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Neutral","2026-02-06T19:34:03.409317Z"
72,"1","2026-02-06T19:34:05.772171Z",72,2.236,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-06T19:34:05.772188Z"
73,"1","2026-02-06T19:34:08.621512Z",73,2.701,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-06T19:34:08.621529Z"
74,"1","2026-02-06T19:34:18.649085Z",74,9.889,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-06T19:34:18.649102Z"
75,"1","2026-02-06T19:34:21.968846Z",75,3.181,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T19:34:21.968856Z"
76,"1","2026-02-06T19:34:23.724682Z",76,1.623,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-06T19:34:23.724697Z"
77,"1","2026-02-06T19:34:25.979231Z",77,2.129,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-06T19:34:25.979242Z"
78,"1","2026-02-06T19:34:31.134691Z",78,13.197,"Standard fare for this type of movie. Good for a one-time watch.","Positive","2026-02-06T19:34:45.314987Z"
79,"1","2026-02-06T19:34:53.013201Z",79,5.28,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-06T19:34:53.013216Z"
80,"1","2026-02-06T19:34:57.075743Z",80,3.938,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T19:34:57.075757Z"
81,"1","2026-02-06T19:34:58.731357Z",81,1.509,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-06T19:34:58.731371Z"
82,"1","2026-02-06T19:35:00.417939Z",82,1.556,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-06T19:35:00.417954Z"
83,"1","2026-02-06T19:35:01.505595Z",83,0.94,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-06T19:35:01.505608Z"
84,"1","2026-02-06T19:35:07.736314Z",84,6.1,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-06T19:35:07.736334Z"
85,"1","2026-02-06T19:35:09.525808Z",85,1.634,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-06T19:35:09.525822Z"
86,"1","2026-02-06T19:35:10.748498Z",86,1.093,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-06T19:35:10.748514Z"
87,"1","2026-02-06T19:35:16.480331Z",87,5.582,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-06T19:35:16.480342Z"
88,"1","2026-02-06T19:35:19.858989Z",88,3.246,"It was... fine. It has some good moments, especially the character development. It is what it is.","Neutral","2026-02-06T19:35:19.859006Z"
89,"1","2026-02-06T19:35:21.723206Z",89,1.716,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-06T19:35:21.723220Z"
90,"1","2026-02-06T19:35:24.045416Z",90,2.185,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-06T19:35:24.045430Z"
91,"1","2026-02-06T19:35:26.349551Z",91,2.122,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-06T19:35:26.349566Z"
92,"1","2026-02-06T19:35:27.729671Z",92,1.248,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-06T19:35:27.729686Z"
93,"1","2026-02-06T19:35:31.180115Z",93,3.311,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-06T19:35:31.180128Z"
94,"1","2026-02-06T19:35:34.231861Z",94,2.911,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-06T19:35:34.231875Z"
95,"1","2026-02-06T19:35:37.549407Z",95,3.166,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-06T19:35:37.549419Z"
96,"1","2026-02-06T19:35:39.759586Z",96,2.072,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-06T19:35:39.759599Z"
97,"1","2026-02-06T19:35:41.768256Z",97,1.884,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-06T19:35:41.768271Z"
98,"1","2026-02-06T19:35:43.301423Z",98,1.399,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-06T19:35:43.301440Z"
99,"1","2026-02-06T19:35:44.875697Z",99,1.447,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T19:35:44.875712Z"
100,"1","2026-02-06T19:35:55.262624Z",100,10.25,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-06T19:35:55.262637Z"
