"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
29,"1","2026-02-07T06:32:16.851934Z",28,7.998,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Negative","2026-02-07T06:32:16.851934Z"
30,"1","2026-02-07T06:32:21.328915Z",29,2.031,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-07T06:32:21.328915Z"
31,"1","2026-02-07T06:32:28.243905Z",30,3.748,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-07T06:32:28.243905Z"
32,"1","2026-02-07T06:32:41.144661Z",31,10.766,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-07T06:32:41.144661Z"
33,"1","2026-02-07T06:32:46.262865Z",32,2.799,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-07T06:32:46.262865Z"
34,"1","2026-02-07T06:32:53.998110Z",33,5.795,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Negative","2026-02-07T06:32:53.998110Z"
35,"1","2026-02-07T06:32:58.421285Z",34,2.386,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-07T06:32:58.421285Z"
36,"1","2026-02-07T06:33:05.548095Z",35,4.712,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-07T06:33:05.548095Z"
37,"1","2026-02-07T06:33:12.557787Z",36,4.531,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-07T06:33:12.557787Z"
38,"1","2026-02-07T06:33:17.938503Z",37,3.558,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-07T06:33:17.938503Z"
39,"1","2026-02-07T06:33:22.168456Z",38,2.144,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-07T06:33:22.168456Z"
40,"1","2026-02-07T06:33:28.443394Z",39,3.437,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-07T06:33:28.443394Z"
41,"1","2026-02-07T06:33:33.271132Z",40,2.254,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-07T06:33:33.271132Z"
42,"1","2026-02-07T06:33:39.064441Z",41,3.019,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-07T06:33:39.064441Z"
43,"1","2026-02-07T06:33:43.888987Z",42,2.063,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-07T06:33:43.888987Z"
44,"1","2026-02-07T06:33:49.578136Z",43,2.011,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-07T06:33:49.578136Z"
45,"1","2026-02-07T06:33:59.580349Z",44,7.372,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Neutral","2026-02-07T06:33:59.581279Z"
46,"1","2026-02-07T06:34:04.068374Z",45,2.205,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-07T06:34:04.068374Z"
47,"1","2026-02-07T06:34:08.833064Z",46,1.674,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-07T06:34:08.833064Z"
48,"1","2026-02-07T06:34:15.098902Z",47,3.296,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-07T06:34:15.101123Z"
49,"1","2026-02-07T06:34:20.171599Z",48,2.361,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-07T06:34:20.171599Z"
50,"1","2026-02-07T06:34:27.235893Z",49,4.171,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-07T06:34:27.235893Z"
51,"1","2026-02-07T06:34:33.753518Z",50,2.971,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-07T06:34:33.753518Z"
52,"1","2026-02-07T06:34:38.613553Z",51,2.681,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-07T06:34:38.613553Z"
53,"1","2026-02-07T06:34:47.271967Z",52,5.22,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-07T06:34:47.271967Z"
54,"1","2026-02-07T06:34:50.877730Z",53,1.876,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-07T06:34:50.877730Z"
55,"1","2026-02-07T06:34:58.118022Z",54,4.1,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Neutral","2026-02-07T06:34:58.118022Z"
56,"1","2026-02-07T06:35:02.546852Z",55,1.935,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-07T06:35:02.546852Z"
57,"1","2026-02-07T06:35:11.475112Z",56,6.227,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-07T06:35:11.475112Z"
58,"1","2026-02-07T06:35:15.576137Z",57,2.198,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-07T06:35:15.576137Z"
59,"1","2026-02-07T06:35:20.922732Z",58,1.698,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-07T06:35:20.922732Z"
60,"1","2026-02-07T06:35:27.683761Z",59,1.787,"Total garbage. A complete misfire.","Negative","2026-02-07T06:35:27.683761Z"
61,"1","2026-02-07T06:35:33.213307Z",60,2.5,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-07T06:35:33.213307Z"
62,"1","2026-02-07T06:35:38.190397Z",61,2.134,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-07T06:35:38.190397Z"
63,"1","2026-02-07T06:35:43.102411Z",62,2.081,"I have never been so bored in my life. Do not bother.","Negative","2026-02-07T06:35:43.102411Z"
64,"1","2026-02-07T06:35:49.346881Z",63,3.396,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-07T06:35:49.346881Z"
65,"1","2026-02-07T06:35:53.262826Z",64,1.449,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-07T06:35:53.262826Z"
66,"1","2026-02-07T06:36:00.472840Z",65,3.882,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Positive","2026-02-07T06:36:00.472840Z"
67,"1","2026-02-07T06:36:06.462742Z",66,3.289,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-07T06:36:06.462742Z"
68,"1","2026-02-07T06:36:57.789858Z",67,2.687,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-07T06:36:57.789858Z"
69,"1","2026-02-07T06:37:03.580919Z",68,3.728,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Positive","2026-02-07T06:37:03.580919Z"
70,"1","2026-02-07T06:37:12.153573Z",69,4.258,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-07T06:37:12.153573Z"
71,"1","2026-02-07T06:37:15.819532Z",70,1.427,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-07T06:37:15.819532Z"
72,"1","2026-02-07T06:37:21.669587Z",71,5.031000000000001,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Negative","2026-02-07T06:37:31.987476Z"
73,"1","2026-02-07T06:37:39.313185Z",72,4.914,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-07T06:37:39.313185Z"
74,"1","2026-02-07T06:37:44.389902Z",73,2.701,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-07T06:37:44.390531Z"
75,"1","2026-02-07T06:37:48.592877Z",74,2.299,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-07T06:37:48.592877Z"
76,"1","2026-02-07T06:37:58.099804Z",75,6.499,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-07T06:37:58.099804Z"
77,"1","2026-02-07T06:38:02.027381Z",76,1.582,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-07T06:38:02.027381Z"
78,"1","2026-02-07T06:38:11.201346Z",77,2.275,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-07T06:38:11.201346Z"
79,"1","2026-02-07T06:38:14.980403Z",78,1.83,"Standard fare for this type of movie. Good for a one-time watch.","Positive","2026-02-07T06:38:14.980403Z"
80,"1","2026-02-07T06:38:19.213726Z",79,1.381,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-07T06:38:19.213726Z"
81,"1","2026-02-07T06:38:26.816407Z",80,2.846,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-07T06:38:26.816407Z"
82,"1","2026-02-07T06:38:31.064226Z",81,1.382,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-07T06:38:31.064226Z"
83,"1","2026-02-07T06:38:36.392596Z",82,1.301,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-07T06:38:36.392596Z"
84,"1","2026-02-07T06:38:41.574697Z",83,1.746,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-07T06:38:41.574697Z"
85,"1","2026-02-07T06:38:49.089859Z",84,1.597,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-07T06:38:49.089859Z"
86,"1","2026-02-07T06:38:54.559140Z",85,1.822,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-07T06:38:54.559140Z"
87,"1","2026-02-07T06:39:01.213477Z",86,1.229,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-07T06:39:01.213477Z"
88,"1","2026-02-07T06:39:06.830879Z",87,2.363,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-07T06:39:06.830879Z"
89,"1","2026-02-07T06:39:13.454717Z",88,3.58,"It was... fine. It has some good moments, especially the character development. It is what it is.","Neutral","2026-02-07T06:39:13.454717Z"
90,"1","2026-02-07T06:39:18.142202Z",89,1.492,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-07T06:39:18.142202Z"
91,"1","2026-02-07T06:39:24.289774Z",90,1.254,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-07T06:39:24.289774Z"
92,"1","2026-02-07T06:39:29.584595Z",91,2.191,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-07T06:39:29.584595Z"
93,"1","2026-02-07T06:39:34.926182Z",92,1.367,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-07T06:39:34.926182Z"
94,"1","2026-02-07T06:39:39.803708Z",93,1.156,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-07T06:39:39.803708Z"
95,"1","2026-02-07T06:39:47.436082Z",94,1.691,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-07T06:39:47.436082Z"
96,"1","2026-02-07T06:39:52.429829Z",95,1.587,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-07T06:39:52.429829Z"
97,"1","2026-02-07T06:40:00.517554Z",96,1.965,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-07T06:40:00.517554Z"
98,"1","2026-02-07T06:40:06.322102Z",97,2.17,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-07T06:40:06.322102Z"
99,"1","2026-02-07T06:40:11.473775Z",98,1.912,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-07T06:40:11.473775Z"
100,"1","2026-02-07T06:40:24.735112Z",99,7.278,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-07T06:40:24.735112Z"
101,"1","2026-02-07T06:40:29.604779Z",100,1.984,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-07T06:40:29.604779Z"
